Date_Froze,Trial_num,Plate_Num,position,Trial_order,Species,Species_Rep,Tissue,Tissue_Rep,Dry_Mass_mg,Plot ,Experiment Type,Date_Weighted,Initials,Notes,old_Tissue
04/12/2019,1,12,12,22,TRIPRA,4,Leaf,,1.15,,Field Trial,,,,
04/12/2019,1,13,13,22,SOLRIG,4,Leaf,,1.85,,Field Trial,,,,
04/12/2019,1,14,14,22,DAUCAR,5,Leaf,,2.97,,Field Trial,,,,
04/12/2019,1,15,15,22,MONFIS,4,Leaf,,0.84,,Field Trial,,,,
04/12/2019,1,16,16,22,ANE?ANE?,5,Leaf,,1.07,,Field Trial,,,,
04/12/2019,1,17,17,22,PEDCAN,2,Leaf,,1.48,,Field Trial,,,,
04/12/2019,1,18,18,22,ZIZAUR,1,Leaf,,1.62,,Field Trial,,,,
04/12/2019,1,19,19,22,LONICERA SPP.,2,Leaf,,0.93,,Field Trial,,,,
04/12/2019,1,20,20,22,BROINE,1,Leaf,,1.15,,Field Trial,,,,
04/12/2019,1,21,21,22,TAROFF,5,Leaf,,0.77,,Field Trial,,,,
04/12/2019,1,22,22,22,SOLRIG,2,Leaf,,2.16,,Field Trial,,,,
04/12/2019,1,23,23,22,DAUCAR,4,Leaf,,2.44,,Field Trial,,,,
04/12/2019,1,24,24,22,MONFIS,5,Leaf,,1.16,,Field Trial,,,,
04/12/2019,1,25,25,22,ANE?ANE?,1,Leaf,,1.17,,Field Trial,,,,
04/12/2019,1,26,26,22,TAROFF,2,Leaf,,0.75,,Field Trial,,,,
04/12/2019,1,27,27,22,SOLRIG,1,Leaf,,2.36,,Field Trial,,,,
04/12/2019,1,28,28,22,ZIZAUR,3,Leaf,,1.52,,Field Trial,,,,
04/12/2019,1,29,29,22,DAUCAR,3,Leaf,,1,,Field Trial,,,,
04/12/2019,1,30,30,22,ANE?ANE?,2,Leaf,,1.12,,Field Trial,,,,
04/12/2019,1,31,31,22,BROINE,4,Leaf,,1.13,,Field Trial,,,,
04/12/2019,1,32,32,22,TRIPRA,2,Leaf,,1.22,,Field Trial,,,,
04/12/2019,1,33,33,22,MONFIS,1,Leaf,,1.19,,Field Trial,,,,
04/12/2019,1,34,34,22,TAROFF,3,Leaf,,0.83,,Field Trial,,,,
04/12/2019,1,35,35,22,MONFIS,3,Leaf,,1.19,,Field Trial,,,,
04/12/2019,1,36,36,22,ANE?ANE?,4,Leaf,,1.17,,Field Trial,,,,
04/12/2019,1,37,37,22,ANE?ANE?,3,Leaf,,1.05,,Field Trial,,,,
04/12/2019,1,38,38,22,BROINE,5,Leaf,,0.83,,Field Trial,,,,
04/12/2019,1,39,39,22,LONICERA SPP.,4,Leaf,,1.14,,Field Trial,,,,
04/12/2019,1,40,40,22,PEDCAN,3,Leaf,,1.89,,Field Trial,,,,
04/12/2019,1,41,41,22,ZIZAUR,2,Leaf,,1.29,,Field Trial,,,,
04/12/2019,1,42,42,22,SOLRIG,3,Leaf,,2.03,,Field Trial,,,,
04/12/2019,1,43,43,22,LONICERA SPP.,5,Leaf,,1.14,,Field Trial,,,,
04/12/2019,1,44,44,22,ZIZAUR,5,Leaf,,1.42,,Field Trial,,,,
04/12/2019,1,45,45,22,LONICERA SPP.,3,Leaf,,0.94,,Field Trial,,,,
04/12/2019,1,46,46,22,DAUCAR,1,Leaf,,1.11,,Field Trial,,,,
04/12/2019,1,47,47,22,TAROFF,4,Leaf,,0.72,,Field Trial,,,,
04/12/2019,1,48,48,22,TRIPRA,3,Leaf,,1.17,,Field Trial,,,,
04/12/2019,1,49,49,22,PEDCAN,4,Leaf,,1.18,,Field Trial,,,,
04/12/2019,1,50,50,22,SOLRIG,5,Leaf,,2.03,,Field Trial,,,,
04/15/2019,1,1,1,23,BROINE,3,Leaf,,,T1M,Field Trial,,,first trial,
04/15/2019,1,2,2,23,BROINE,1,Leaf,,,F1C,Field Trial,,,first trial,
04/15/2019,1,3,3,23,BROINE,1,Leaf,,,C1M,Field Trial,,,first trial,
04/15/2019,1,4,4,23,BROINE,1,Leaf,,,B1C,Field Trial,,,first trial,
04/15/2019,1,5,5,23,BROINE,2,Leaf,,,C1C,Field Trial,,,first trial,
04/15/2019,1,6,6,23,SYMLAE,1,Leaf,,,B1F,Field Trial,,,first trial,
04/15/2019,1,7,7,23,BROINE,1,Leaf,,,T1C,Field Trial,,,first trial,
04/15/2019,1,8,8,23,BROINE,3,Leaf,,,B1F,Field Trial,,,first trial,
04/15/2019,1,9,9,23,BROINE,1,Leaf,,,T1M,Field Trial,,,first trial,
04/15/2019,1,10,10,23,BROINE,1,Leaf,,,B1M,Field Trial,,,first trial,
04/15/2019,1,11,11,23,SILINT,1,Leaf,,,T1F,Field Trial,,,first trial,
04/15/2019,1,12,12,23,BROINE,3,Leaf,,,F1M,Field Trial,,,first trial,
04/15/2019,1,13,13,23,BROINE,2,Leaf,,,T1M,Field Trial,,,first trial,
04/15/2019,1,14,14,23,BROINE,1,Leaf,,,F1M,Field Trial,,,first trial,
04/15/2019,1,15,15,23,BROINE,2,Leaf,,,T1C,Field Trial,,,first trial,
04/15/2019,1,16,16,23,RATPIN,1,Leaf,,,F1F,Field Trial,,,first trial,
04/15/2019,1,17,17,23,empty,,,,,,Field Trial,,,first trial,
04/15/2019,1,18,18,23,BROINE,3,Leaf,,,C1M,Field Trial,,,first trial,
04/15/2019,1,19,19,23,BROINE,1,Leaf,,,B1F,Field Trial,,,first trial,
04/15/2019,1,20,20,23,BROINE,1,Leaf,,,T1F,Field Trial,,,first trial,
04/15/2019,1,21,21,23,BROINE,3,Leaf,,,F1C,Field Trial,,,first trial,
04/15/2019,1,22,22,23,SILINT,1,Leaf,,,B1F,Field Trial,,,first trial,
04/15/2019,1,23,23,23,SYMLAE,1,Leaf,,,C1F,Field Trial,,,first trial,
04/15/2019,1,24,24,23,MONFIS,1,Leaf,,,B1F,Field Trial,,,first trial,
04/15/2019,1,25,25,23,BROINE,2,Leaf,,,C1F,Field Trial,,,first trial,
04/15/2019,1,26,26,23,BROINE ,1,Leaf,,,C1C,Field Trial,,,first trial,
04/15/2019,1,27,27,23,SYMLAE,1,Leaf,,,F1F,Field Trial,,,first trial,
04/15/2019,1,28,28,23,BROINE,3,Leaf,,,T1F,Field Trial,,,first trial,
04/15/2019,1,29,29,23,BROINE,2,Leaf,,,F1F,Field Trial,,,first trial,
04/15/2019,1,30,30,23,BROINE,2,Leaf,,,B1M,Field Trial,,,first trial,
04/15/2019,1,31,31,23,BROINE,2,Leaf,,,C1M,Field Trial,,,first trial,
04/15/2019,1,32,32,23,BROINE,2,Leaf,,,F1C,Field Trial,,,first trial,
04/15/2019,1,33,33,23,RATPIN,2,Leaf,,,F1F,Field Trial,,,first trial,
04/15/2019,1,34,34,23,BROINE ,3,Leaf,,,T1C,Field Trial,,,first trial,
04/15/2019,1,35,35,23,BROINE,2,Leaf,,,F1M,Field Trial,,,first trial,
04/15/2019,1,36,36,23,RATPIN,1,Leaf,,,C1F,Field Trial,,,first trial,
04/15/2019,1,37,37,23,BROINE,3,Leaf,,,C1C,Field Trial,,,first trial,
04/15/2019,1,38,38,23,BROINE,2,Leaf,,,B1F,Field Trial,,,first trial,
04/15/2019,1,39,39,23,BROINE,2,Leaf,,,T1F,Field Trial,,,first trial,
04/15/2019,1,40,40,23,BROINE,3,Leaf,,,F1F,Field Trial,,,first trial,
04/15/2019,1,41,41,23,BROINE,1,Leaf,,,C1F,Field Trial,,,first trial,
04/15/2019,1,42,42,23,BROINE,2,Leaf,,,B1C,Field Trial,,,first trial,
04/15/2019,1,43,43,23,BROINE,1,Leaf,,,F1F,Field Trial,,,first trial,
04/15/2019,1,44,44,23,SYMLAE,1,Leaf,,,T1F,Field Trial,,,first trial,
04/15/2019,1,45,45,23,empty,,,,,,Field Trial,,,first trial,
04/15/2019,1,46,46,23,BROINE,3,Leaf,,,C1F,Field Trial,,,first trial,
04/15/2019,1,47,47,23,BROINE,3,Leaf,,,B1C,Field Trial,,,first trial,
04/15/2019,1,48,48,23,MONFIS,1,Leaf,,,T1F,Field Trial,,,first trial,
04/15/2019,1,49,49,23,BROINE,3,Leaf,,,B1M,Field Trial,,,first trial,
04/15/2019,1,50,50,23,ZIZAUR,1,Leaf,,,C1F,Field Trial,,,first trial,
04/15/2109,2,1,1,24,BROINE,3,Leaf,,, B2C,Field Trial,,,second trial ,
04/15/2109,2,2,2,24,DAUCAR,1,Leaf,,,F2F,Field Trial,,,second trial ,
04/15/2109,2,3,3,24,BROINE,3,Leaf,,,F2M,Field Trial,,,second trial ,
04/15/2109,2,4,4,24,BROINE,3,Leaf,,,T2F,Field Trial,,,second trial ,
04/15/2109,2,5,5,24,BROINE,2,Leaf,,,B2C,Field Trial,,,second trial ,
04/15/2109,2,6,6,24,BROINE,3,Leaf,,,F2F,Field Trial,,,second trial ,
04/15/2109,2,7,7,24,RATPIN,1,Leaf,,,F2F,Field Trial,,,second trial ,
04/15/2109,2,8,8,24,BROINE,1,Leaf,,,F2F,Field Trial,,,second trial ,
04/15/2109,2,9,9,24,SYMLAE,1,Leaf,,,C2F,Field Trial,,,second trial ,
04/15/2109,2,10,10,24,BROINE,1,Leaf,,,C2M,Field Trial,,,second trial ,
04/15/2109,2,11,11,24,BROINE,2,Leaf,,,C2F,Field Trial,,,"second trial, #3 BROINE damaged in transit ",
04/15/2109,2,12,12,24,BROINE,1,Leaf,,,B2C,Field Trial,,,second trial ,
04/15/2109,2,13,13,24,TRAOHI,1,Leaf,,,T2F,Field Trial,,,"second trial, leaf looked rough",
04/15/2109,2,14,14,24,BROINE,1,Leaf,,,T2C,Field Trial,,,second trial ,
04/15/2109,2,15,15,24,SYMLAE,1,Leaf,,,T2F,Field Trial,,,second trial ,
04/15/2109,2,16,16,24,RATPINE,1,Leaf,,,T2F,Field Trial,,,second trial ,
04/15/2109,2,17,17,24,BROINE,2,Leaf,,,T2F,Field Trial,,,second trial ,
04/15/2109,2,18,18,24,BROINE,2,Leaf,,,F2C,Field Trial,,,second trial ,
04/15/2109,2,19,19,24,ZIZAUR,1,Leaf,,,F2F,Field Trial,,,second trial ,
04/15/2109,2,20,20,24,BROINE,1,Leaf,,,C2C,Field Trial,,,second trial ,
04/15/2109,2,21,21,24,BROINE,1,Leaf,,,T2M,Field Trial,,,second trial ,
04/15/2109,2,22,22,24,BROINE,3,Leaf,,,B2F,Field Trial,,,second trial ,
04/15/2109,2,23,23,24,BROINE,3,Leaf,,,C2M,Field Trial,,,second trial ,
04/15/2109,2,24,24,24,BROINE,1,Leaf,,,C2F,Field Trial,,,second trial ,
04/15/2109,2,25,25,24,BROINE,2,Leaf,,,F2M,Field Trial,,,second trial ,
04/15/2109,2,26,26,24,BROINE,1,Leaf,,,F2C,Field Trial,,,second trial ,
04/15/2109,2,27,27,24,BROINE,2,Leaf,,,F2F,Field Trial,,,second trial ,
04/15/2109,2,28,28,24,TRAOHI,2,Leaf,,,T2F,Field Trial,,,"second trial, leaf looked rough",
04/15/2109,2,29,29,24,BROINE,2,Leaf,,,T2M,Field Trial,,,second trial ,
04/15/2109,2,30,30,24,BROINE,3,Leaf,,,B2M,Field Trial,,,second trial ,
04/15/2109,2,31,31,24,BROINE,1,Leaf,,,B2M,Field Trial,,,second trial ,
04/15/2109,2,32,32,24,ECHPAL,1,Leaf,,,F2C,Field Trial,,,second trial ,
04/15/2109,2,33,33,24,BROINE,3,Leaf,,,T2C,Field Trial,,,second trial ,
04/15/2109,2,34,34,24,BROINE,2,Leaf,,,B2F,Field Trial,,,second trial ,
04/15/2109,2,35,35,24,BROINE,3,Leaf,,,C2C,Field Trial,,,second trial ,
04/15/2109,2,36,36,24,BROINE,2,Leaf,,,B2M,Field Trial,,,second trial ,
04/15/2109,2,37,37,24,BROINE,2,Leaf,,,C2M,Field Trial,,,second trial ,
04/15/2109,2,38,38,24,SILINT,1,Leaf,,,B3F,Field Trial,,,second trial ,
04/15/2109,2,39,39,24,RATPIN,1,Leaf,,,C2F,Field Trial,,,second trial ,
04/15/2109,2,40,40,24,empty,,,,,,Field Trial,,,second trial ,
04/15/2109,2,41,41,24,BROINE,2,Leaf,,,T2C,Field Trial,,,second trial ,
04/15/2109,2,42,42,24,BROINE,1,Leaf,,,B2F,Field Trial,,,second trial ,
04/15/2109,2,43,43,24,BROINE,1,Leaf,,,T2F,Field Trial,,,second trial ,
04/15/2109,2,44,44,24,TRAOHI,1,Leaf,,,B2F,Field Trial,,,second trial ,
04/15/2109,2,45,45,24,BROINE,1,Leaf,,,F2M,Field Trial,,,second trial ,
04/15/2109,2,46,46,24,BROINE,3,Leaf,,,T2M,Field Trial,,,second trial ,
04/15/2109,2,47,47,24,SILINT,2,Leaf,,,B2F,Field Trial,,,second trial ,
04/15/2109,2,48,48,24,BROINE,2,Leaf,,,C2C,Field Trial,,,second trial ,
04/15/2109,2,49,49,24,SYMLAE,2,Leaf,,,C2F,Field Trial,,,second trial ,
04/15/2109,2,50,50,24,TRAOHI,2,Leaf,,,B2F,Field Trial,,,second trial ,
04/17/2019,2,1,1,25,SYMPIL,1D,Root,,5.46,,Seedling Freeze Trial,,,top,
04/17/2019,1,2,2,25,TRAOHI,6G,Seedling,B,0.48,,Seedling Freeze Trial,,,,
04/17/2019,1,3,3,25,DESILL,1C,Leaf,,1.1,,Seedling Freeze Trial,,,,
04/17/2019,1,4,4,25,RATPIN,1D,Root,,0.92,,Seedling Freeze Trial,,,top,
04/17/2019,1,5,5,25,LATVEN,2D,Root,,4.26,,Seedling Freeze Trial,,,top,
04/17/2019,1,6,6,25,empty,,,,,,Seedling Freeze Trial,,,,
04/17/2019,1,7,7,25,SYMPIL,1D,Leaf,,0.83,,Seedling Freeze Trial,,,,
04/17/2019,1,8,8,25,DESILL,2D,Leaf,,1.18,,Seedling Freeze Trial,,,,
04/17/2019,1,9,9,25,LATVEN,2D,Leaf,,0.79,,Seedling Freeze Trial,,,,
04/17/2019,1,10,10,25,TRAOHI,3G,Seedling,A,0.36,,Seedling Freeze Trial,,,,
04/17/2019,1,11,11,25,empty,,,,,,Seedling Freeze Trial,,,,
04/17/2019,1,12,12,25,LATVEN,2D,Root,,2.46,,Seedling Freeze Trial,,,middle,
04/17/2019,1,13,13,25,SYMOBL,3A,Root,,2.86,,Seedling Freeze Trial,,,top,
04/17/2019,1,14,14,25,CEAAME,2D,Root,,1.49,,Seedling Freeze Trial,,,middle,
04/17/2019,1,15,15,25,ASCSYR,2D,Root,,8.79,,Seedling Freeze Trial,,,top,
04/17/2019,1,16,16,25,SYMPIL,1D,Leaf,,0.88,,Seedling Freeze Trial,,,,
04/17/2019,1,17,17,25,RATPIN,1D,Root,,0.7,,Seedling Freeze Trial,,,middle,
04/17/2019,1,18,18,25,TRAOHI,6G,Seedling,A,0.55,,Seedling Freeze Trial,,,,
04/17/2019,1,19,19,25,SYMOBL,3A,Root,,0.82,,Seedling Freeze Trial,,,middle,
04/17/2019,1,20,20,25,CEAAME,2D,Leaf,,0.5,,Seedling Freeze Trial,,,,
04/17/2019,1,21,21,25,TRAOHI,5G,Seedling,B,0.28,,Seedling Freeze Trial,,,,
04/17/2019,1,22,22,25,SYMPIL,1D,Leaf,,0.78,,Seedling Freeze Trial,,,,
04/17/2019,1,23,23,25,ASCSYR,2D,Root,,19.43,,Seedling Freeze Trial,,,middle,
04/17/2019,1,24,24,25,RATPIN,1D,Leaf,,0.81,,Seedling Freeze Trial,,,,
04/17/2019,1,25,25,25,DESILL,1C,Leaf,,1.19,,Seedling Freeze Trial,,,,
04/17/2019,1,26,26,25,CEAAME,2D,Leaf,,0.5,,Seedling Freeze Trial,,,,
04/17/2019,1,27,27,25,DESILL,1C,Root,,4.81,,Seedling Freeze Trial,,,top,
04/17/2019,1,28,28,25,RATPIN,1D,Leaf,,0.98,,Seedling Freeze Trial,,,,
04/17/2019,1,29,29,25,CEAAME,2D,Root,,2.31,,Seedling Freeze Trial,,,top,
04/17/2019,1,30,30,25,ASCSYR,2D,Leaf,,0.88,,Seedling Freeze Trial,,,,
04/17/2019,1,31,31,25,SYMOBL,3A,Leaf,,0.96,,Seedling Freeze Trial,,,,
04/17/2019,1,32,32,25,LATVEN,2D,Leaf,,0.81,,Seedling Freeze Trial,,,,
04/17/2019,1,33,33,25,TRAOHI,5G,Seedling,A,0.62,,Seedling Freeze Trial,,,,
04/17/2019,1,34,34,25,empty,,,,,,Seedling Freeze Trial,,,,
04/17/2019,1,35,35,25,empty,,,,,,Seedling Freeze Trial,,,,
04/17/2019,1,36,36,25,SYMOBL,3A,Leaf,,1.12,,Seedling Freeze Trial,,,,
04/17/2019,1,37,37,25,DESILL,2D,Leaf,,1.34,,Seedling Freeze Trial,,,,
04/17/2019,1,38,38,25,ASCSYR,2D,Leaf,,0.9,,Seedling Freeze Trial,,,,
04/17/2019,1,39,39,25,DESILL,2D,Root,,11.2,,Seedling Freeze Trial,,,top,
04/17/2019,1,40,40,25,RATPIN,1D,Leaf,,0.93,,Seedling Freeze Trial,,,,
04/17/2019,1,41,41,25,LATVEN,2D,Leaf,,0.77,,Seedling Freeze Trial,,,,
04/17/2019,1,42,42,25,TRAOHI,3G,Seedling,B,0.35,,Seedling Freeze Trial,,,,
04/17/2019,1,43,43,25,DESILL,1C,Root,,3.87,,Seedling Freeze Trial,,,middle,
04/17/2019,1,44,44,25,DESILL,1C,Leaf,,1.22,,Seedling Freeze Trial,,,,
04/17/2019,1,45,45,25,SYMPIL,1D,Root,,2.71,,Seedling Freeze Trial,,,middle,
04/17/2019,1,46,46,25,DESILL,2D,Root,,10.98,,Seedling Freeze Trial,,,middle,
04/17/2019,1,47,47,25,ASCSYR,2D,Leaf,,0.72,,Seedling Freeze Trial,,,,
04/17/2019,1,48,48,25,CEAAME,2D,Leaf,,0.5,,Seedling Freeze Trial,,,,
04/17/2019,1,49,49,25,SYMOBL,3A,Leaf,,1.37,,Seedling Freeze Trial,,,,
04/17/2019,1,50,50,25,DESILL,2D,Leaf,,1.26,,Seedling Freeze Trial,,,,
04/19/2019,1,1,1,26,DESILL,3C,Leaf,,1.55,,Seedling Freeze Trial,,,,
04/19/2019,1,2,2,26,SYMPIL,2A,Leaf,,1.43,,Seedling Freeze Trial,,,,
04/19/2019,1,3,3,26,SYMNOV,2D,Root,,4.27,,Seedling Freeze Trial,,,top,
04/19/2019,1,4,4,26,SOLGRA,1D,Leaf,,1.09,,Seedling Freeze Trial,,,,
04/19/2019,1,5,5,26,CEAAME,2E,Leaf,,0.61,,Seedling Freeze Trial,,,,
04/19/2019,1,6,6,26,empty,,,,,,Seedling Freeze Trial,,,,
04/19/2019,1,7,7,26,CEAAME,1E,Root,,1.22,,Seedling Freeze Trial,,,top,
04/19/2019,1,8,8,26,TRAOHI,8G,Seedling,A,0.72,,Seedling Freeze Trial,,,,
04/19/2019,1,9,9,26,CEAAME,2E,Root,,1.72,,Seedling Freeze Trial,,,top,
04/19/2019,1,10,10,26,SYMPIL,2A,Leaf,,1.18,,Seedling Freeze Trial,,,,
04/19/2019,1,11,11,26,DESILL,3C,Leaf,,1.51,,Seedling Freeze Trial,,,,
04/19/2019,1,12,12,26,CEAAME,2E,Root,,1.36,,Seedling Freeze Trial,,,middle,
04/19/2019,1,13,13,26,SYMNOV,2D,Leaf,,0.76,,Seedling Freeze Trial,,,,
04/19/2019,1,14,14,26,SOLGRA,1D,Root,,5.79,,Seedling Freeze Trial,,,top,
04/19/2019,1,15,15,26,TRAOHI,7G,Seedling,A,0.55,,Seedling Freeze Trial,,,,
04/19/2019,1,16,16,26,SOLGRA,1D,Root,,1.51,,Seedling Freeze Trial,,,middle,
04/19/2019,1,17,17,26,TRAOHI,4G,Seedling,A,0.67,,Seedling Freeze Trial,,,,
04/19/2019,1,18,18,26,SYMNOV,2D,Root,,2.26,,Seedling Freeze Trial,,,middle,
04/19/2019,1,19,19,26,SOLGRA,1D,Leaf,,1.12,,Seedling Freeze Trial,,,,
04/19/2019,1,20,20,26,CEAAME,2E,Leaf,,0.7,,Seedling Freeze Trial,,,,
04/19/2019,1,21,21,26,CEAAME,1E,Leaf,,0.74,,Seedling Freeze Trial,,,,
04/19/2019,1,22,22,26,empty,,,,,,Seedling Freeze Trial,,,,
04/19/2019,1,23,23,26,CEAAME,1E,Leaf,,0.55,,Seedling Freeze Trial,,,,
04/19/2019,1,24,24,26,CEAAME,1E,Root,,0.81,,Seedling Freeze Trial,,,middle,
04/19/2019,1,25,25,26,TRAOHI,10G,Seedling,B,0.61,,Seedling Freeze Trial,,,,
04/19/2019,1,26,26,26,SYMNOV,2D,Leaf,,0.79,,Seedling Freeze Trial,,,,
04/19/2019,1,27,27,26,TRAOHI,10G,Seedling,A,0.56,,Seedling Freeze Trial,,,,
04/19/2019,1,28,28,26,CEAAME,2C,Root,,6.17,,Seedling Freeze Trial,,,top,
04/19/2019,1,29,29,26,DESILL,3C,Root,,7.68,,Seedling Freeze Trial,,,top,
04/19/2019,1,30,30,26,SOLGRA,1D,Leaf,,1.17,,Seedling Freeze Trial,,,,
04/19/2019,1,31,31,26,TRAOHI,8G,Seedling,B,0.76,,Seedling Freeze Trial,,,,
04/19/2019,1,32,32,26,AQUCAN,1B,Root,,9.9,,Seedling Freeze Trial,,,top,
04/19/2019,1,33,33,26,DESILL,3C,Root,,3.56,,Seedling Freeze Trial,,,middle,
04/19/2019,1,34,34,26,TRAOHI,4G,Seedling,B,0.6,,Seedling Freeze Trial,,,,
04/19/2019,1,35,35,26,CEAAME,2E,Leaf,,0.95,,Seedling Freeze Trial,,,,
04/19/2019,1,36,36,26,SYMPIL,2A,Leaf,,1.23,,Seedling Freeze Trial,,,,
04/19/2019,1,37,37,26,SYMPIL,2A,Root,,0.71,,Seedling Freeze Trial,,,top,
04/19/2019,1,38,38,26,AQUCAN,1B,Leaf,,0.7,,Seedling Freeze Trial,,,,
04/19/2019,1,39,39,26,DESILL,3C,Leaf,,1.53,,Seedling Freeze Trial,,,,
04/19/2019,1,40,40,26,CEAAME,2C,Root,,3.88,,Seedling Freeze Trial,,,middle,
04/19/2019,1,41,41,26,CEAAME,2E,Leaf,,0.99,,Seedling Freeze Trial,,,,
04/19/2019,1,42,42,26,TRAOHI,7G,Seedling,B,0.5,,Seedling Freeze Trial,,,,
04/19/2019,1,43,43,26,CEAAME,2C,Leaf,,0.79,,Seedling Freeze Trial,,,,
04/19/2019,1,44,44,26,AQUCAN,1B,Root,,3.32,,Seedling Freeze Trial,,,middle,
04/19/2019,1,45,45,26,SYMNOV,2D,Leaf,,0.77,,Seedling Freeze Trial,,,,
04/19/2019,1,46,46,26,AQUCAN,1B,Leaf,,0.75,,Seedling Freeze Trial,,,,
04/19/2019,1,47,47,26,CEAAME,1E,Leaf,,0.54,,Seedling Freeze Trial,,,,
04/19/2019,1,48,48,26,SYMPIL,2A,Root,,0.71,,Seedling Freeze Trial,,,middle,
04/19/2019,1,49,49,26,CEAAME,2E,Leaf,,1.04,,Seedling Freeze Trial,,,,
04/19/2019,1,50,50,26,AQUCAN,1B,Leaf,,0.67,,Seedling Freeze Trial,,,,
04/22/2019,1,1,1,27,MONFIS,1,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,2,2,27,SYMLAE,1,Leaf,,,T1F,Field Trial,,,,
04/22/2019,1,3,3,27,SOLCAN,1,Leaf,,,T2C,Field Trial,,,,
04/22/2019,1,4,4,27,BROINE,3,Leaf,,,B1C,Field Trial,,,,
04/22/2019,1,5,5,27,BROINE,2,Leaf,,,T1M,Field Trial,,,,
04/22/2019,1,6,6,27,BROINE,1,Leaf,,,B1M,Field Trial,,,,
04/22/2019,1,7,7,27,BROINE,3,Leaf,,,T2C,Field Trial,,,,
04/22/2019,1,8,8,27,BROINE,2,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,9,9,27,BROINE,2,Leaf,,,B1M,Field Trial,,,,
04/22/2019,1,10,10,27,BROINE,1,Leaf,,,T1C,Field Trial,,,,
04/22/2019,1,11,11,27,BROINE,3,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,12,12,27,BROINE,3,Leaf,,,B1M,Field Trial,,,,
04/22/2019,1,13,13,27,BROINE,1,Leaf,,,T2C,Field Trial,,,,
04/22/2019,1,14,14,27,SOLCAN,1,Leaf,,,B1M,Field Trial,,,,
04/22/2019,1,15,15,27,MONFIS,1,Leaf,,,B1M,Field Trial,,,,
04/22/2019,1,16,16,27,BROINE,2,Leaf,,,T1M,Field Trial,,,,
04/22/2019,1,17,17,27,BROINE,3,Leaf,,,T2M,Field Trial,,,,
04/22/2019,1,18,18,27,ZIZAUR,1,Leaf,,,B1M,Field Trial,,,,
04/22/2019,1,19,19,27,BROINE,3,Leaf,,,T1M,Field Trial,,,,
04/22/2019,1,20,20,27,BROINE,1,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,21,21,27,BROINE,1,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,22,22,27,BROINE,2,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,23,23,27,ERYYUC,1,Leaf,,,T1F,Field Trial,,,,
04/22/2019,1,24,24,27,RATPIN,1,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,25,25,27,MONFIS,1,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,26,26,27,ERYYUC,1,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,27,27,27,ZIZAUR,1,Leaf,,,T2C,Field Trial,,,,
04/22/2019,1,28,28,27,SILINT,1,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,29,29,27,BROINE,1,Leaf,,,T2M,Field Trial,,,,
04/22/2019,1,30,30,27,MONFIS,1,Leaf,,,B1C,Field Trial,,,,
04/22/2019,1,31,31,27,BROINE,2,Leaf,,,T1F,Field Trial,,,,
04/22/2019,1,32,32,27,BROINE,1,Leaf,,,B1C,Field Trial,,,,
04/22/2019,1,33,33,27,SYMLAE,1,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,34,34,27,SILINT,1,Leaf,,,T1F,Field Trial,,,,
04/22/2019,1,35,35,27,BROINE,2,Leaf,,,T2M,Field Trial,,,,
04/22/2019,1,36,36,27,MONFIS,2,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,37,37,27,BROINE,2,Leaf,,,T1C,Field Trial,,,,
04/22/2019,1,38,38,27,BROINE,2,Leaf,,,B1C,Field Trial,,,,
04/22/2019,1,39,39,27,BROINE,1,Leaf,,,T1F,Field Trial,,,,
04/22/2019,1,40,40,27,BROINE,3,Leaf,,,B1F,Field Trial,,,,
04/22/2019,1,41,41,27,BROINE,2,Leaf,,,T2C,Field Trial,,,,
04/22/2019,1,42,42,27,SILINT,1,Leaf,,,F1F,Field Trial,,,,
04/22/2019,1,43,43,27,MONFIS,1,Leaf,,,T2C,Field Trial,,,,
04/22/2019,1,44,44,27,SOLCAN,1,Leaf,,,T2M,Field Trial,,,,
04/22/2019,1,45,45,27,BROINE,3,Leaf,,,T1C,Field Trial,,,,
04/22/2019,1,46,46,27,SOLRIG,1,Leaf,,,F1F,Field Trial,,,,
04/22/2019,1,47,47,27,RATPIN,1,Leaf,,,T2F,Field Trial,,,,
04/22/2019,1,48,48,27,RATPIN,1,Leaf,,,F1F,Field Trial,,,,
04/22/2019,1,49,49,27,BROINE,3,Leaf,,,T1F,Field Trial,,,,
04/22/2019,1,50,50,27,SYMLAE,1,Leaf,,,F1F,Field Trial,,,,
04/23/2019,1,1,1,28,empty,,,,,,Field Trial,,,,
04/23/2019,1,2,2,28,BROINE,1,Leaf,,,B2F,Field Trial,,,,
04/23/2019,1,3,3,28,empty,,,,,,Field Trial,,,,
04/23/2019,1,4,4,28,RATPIN,1,Leaf,,,F1C,Field Trial,,,,
04/23/2019,1,5,5,28,BROINE,1,Leaf,,,B2C,Field Trial,,,,
